 
          15  -7196.4767398707991     
          16  -8206.2795507888222     
          17  -6451.6411792431172     
          18  -5420.4993773789247     
          19  -6428.2734010922541     
          20  -7041.7443984486308     
          21  -9963.2013591973009     
          22  -6432.6528387230937     
          23  -5204.4002034198929     
          24  -6019.0737640082443     
          25  -9432.7762142672764     
          26  -4781.8437463400005     
 NeighborList:
 Acceptance Rate by Cluster Size:
           1   26.079207816380443     
           2   3.4546106438592626E-218
           3   3.3347346507692267E-223
           4   8.8455897953962935E+021
           5   1.5518937900570486E-085
           6   11.300505050505050     
           7   11.098354802384026     
           8   2.7767492003600530E+254
           9   4.2700733858243301E+249
          10   10.304641069855984     
          11   1.1289031627350131E+071
          12   2.4853279882096694E+095
          13   3.6425574972721695E-242
          14   9.7831450051040237E-016
          15   155738714.77767473     
          16   4.4173166381365117E+239
          17   9.5028643176646010     
          18   9.5242960063094841     
          19   1.6829591215503304E+171
          20   7.6548640774163964E+224
          21   9.4700163737680629     
          22   9.4857728328500581     
          23   9.2464763186532988     
          24   9.3692179163228388     
          25   9.3917814615923412     
          26   1.9335741644797436E-247
          27   6.9421178840917174E-156
          28   9.0814416885346478     
          29   9.3501856179002409     
          30   100.00000000000000     
